age,income,education_years,credit_score,approval,node_id
30,24920,12,701,0,2
34,20000,13,648,0,2
18,39087,10,718,0,2
51,23104,13,750,0,2
18,20000,9,555,0,2
26,20168,13,576,1,2
40,20000,11,546,0,2
22,62526,12,720,0,2
24,20000,12,628,0,2
25,20000,9,594,0,2
40,25632,10,510,1,2
57,20000,11,673,0,2
35,41956,13,635,0,2
23,23563,14,648,0,2
40,20000,11,602,1,2
29,20000,9,493,0,2
34,20000,12,762,0,2
46,20000,11,638,0,2
27,20000,14,663,1,2
35,20000,15,564,0,2
26,24297,17,770,1,2
33,20000,8,555,0,2
37,20000,10,591,0,2
25,32078,11,549,0,2
31,56866,14,527,1,2
32,20000,13,714,1,2
28,54504,12,591,1,2
23,20000,14,534,1,2
20,29183,10,621,0,2
33,20000,10,608,1,2
32,21226,12,641,0,2
57,20000,8,580,0,2
18,20000,16,661,0,2
36,20000,9,473,1,2
38,20000,8,547,0,2
48,27057,12,708,0,2
40,70487,8,721,0,2
26,20000,10,460,1,2
35,20389,11,675,1,2
40,20000,15,634,1,2
31,20000,20,752,0,2
42,44160,12,533,1,2
18,20000,8,676,1,2
52,20000,12,722,0,2
49,22261,13,502,0,2
31,34733,9,572,1,2
41,25787,12,732,1,2
35,55999,16,616,0,2
26,20105,13,727,1,2
35,20000,9,655,0,2
45,23611,10,502,1,2
31,23382,8,649,0,2
31,20000,10,678,0,2
34,20000,10,584,0,2
39,20000,16,741,0,2
47,52431,8,508,1,2
28,20000,8,634,1,2
40,20000,12,607,1,2
37,25329,13,558,0,2
18,20000,10,494,0,2
30,27269,12,437,0,2
33,26997,13,517,0,2
34,20000,14,622,1,2
38,20000,13,582,1,2
18,20000,13,624,0,2
35,49386,8,617,1,2
28,26835,14,593,1,2
20,20000,12,661,1,2
40,20000,9,723,1,2
42,21188,10,491,0,2
28,21880,11,665,1,2
43,20000,10,476,0,2
31,25479,11,850,0,2
35,20000,10,548,0,2
24,37737,8,601,1,2
50,27411,18,726,1,2
18,21023,13,681,1,2
34,23572,18,733,0,2
41,20000,11,781,1,2
18,34281,16,610,0,2
33,26678,11,836,0,2
34,20000,16,577,0,2
43,23362,14,612,1,2
47,20000,14,728,0,2
30,76388,11,408,1,2
21,20000,12,578,0,2
48,28550,15,620,1,2
47,26429,8,723,1,2
30,20000,9,571,1,2
38,22088,8,726,0,2
38,20000,9,538,0,2
40,24953,13,739,0,2
37,25038,14,718,1,2
49,32331,11,592,0,2
18,32581,15,614,0,2
45,20000,9,624,1,2
38,20000,10,605,1,2
32,20000,12,586,1,2
46,20000,13,778,1,2
18,20000,11,684,0,2
46,29787,8,688,1,2
38,21166,13,489,0,2
23,20000,17,640,0,2
39,20000,10,752,0,2
31,20000,12,655,0,2
60,20000,8,591,0,2
53,20921,11,633,1,2
39,30779,9,723,0,2
27,29648,12,626,0,2
29,21182,16,433,0,2
31,20000,13,567,1,2
29,21927,9,657,0,2
25,22052,14,488,1,2
29,31347,8,643,0,2
32,32303,15,689,1,2
29,20000,12,850,1,2
28,21647,8,788,1,2
25,31197,11,682,0,2
60,27683,9,467,1,2
20,20224,17,672,1,2
24,20000,13,499,1,2
39,20000,8,539,0,2
31,33501,9,754,1,2
39,23739,12,565,0,2
42,35475,10,710,0,2
47,20000,12,663,1,2
42,22928,13,736,1,2
25,32753,8,625,1,2
46,31067,13,629,0,2
18,26791,16,797,0,2
33,37965,12,714,0,2
30,42944,13,681,0,2
24,44142,10,646,0,2
40,20000,10,702,0,2
33,20000,12,635,1,2
45,20000,9,707,1,2
20,20000,8,637,0,2
43,20000,14,477,0,2
39,42216,10,481,0,2
36,20000,12,580,1,2
20,23149,12,847,1,2
32,20000,13,785,1,2
19,20000,13,608,1,2
18,20000,13,567,0,2
67,20000,11,598,0,2
44,31815,14,626,1,2
52,72420,10,769,1,2
30,20000,13,591,0,2
41,20000,10,499,0,2
41,52886,12,597,0,2
41,29173,9,527,1,2
35,20000,16,798,1,2
32,20000,12,633,1,2
18,31771,9,657,0,2
41,24503,8,643,0,2
39,47870,9,453,1,2
46,20000,15,672,0,2
32,20195,10,697,1,2
52,20000,14,607,1,2
30,20000,11,683,1,2
