age,income,education_years,credit_score,approval,node_id
39,47870,9,453,1,2
42,31866,12,557,0,2
37,20000,10,591,0,2
31,20000,10,488,0,2
33,20000,13,850,0,2
33,48242,12,720,0,2
44,20000,14,712,0,2
34,20000,11,795,1,2
22,33085,11,590,0,2
43,20000,10,476,0,2
61,29582,11,768,1,2
39,20000,8,585,0,2
23,30356,12,584,0,2
42,35475,10,710,0,2
42,40024,9,600,0,2
47,54424,9,480,1,2
18,25865,11,678,0,2
36,52607,13,620,1,2
32,21226,12,641,0,2
43,20000,8,726,1,2
24,26675,9,602,1,2
21,20000,14,708,0,2
40,20000,11,551,0,2
43,23362,14,612,1,2
28,26778,8,715,1,2
33,20000,16,677,0,2
20,20000,9,683,0,2
52,20000,14,607,1,2
31,20000,10,678,0,2
29,64940,13,650,1,2
42,26559,13,594,1,2
31,20000,10,566,1,2
76,20000,8,577,0,2
50,27411,18,726,1,2
47,26429,8,723,1,2
30,22731,11,739,1,2
18,22957,8,573,1,2
31,20000,14,600,1,2
46,21546,11,519,1,2
24,37737,8,601,1,2
38,24486,15,725,1,2
35,50958,12,811,1,2
39,23739,12,565,0,2
31,20000,11,716,1,2
25,22052,14,488,1,2
35,20000,16,798,1,2
37,20168,8,649,0,2
39,20000,18,850,0,2
30,20000,12,728,1,2
33,37965,12,714,0,2
28,22425,18,575,1,2
33,26095,14,804,1,2
39,20000,10,752,0,2
37,21942,13,756,0,2
35,41956,13,635,0,2
30,27269,12,437,0,2
36,20000,13,608,0,2
27,21451,13,635,1,2
37,26545,14,736,0,2
44,20000,9,721,1,2
41,52886,12,597,0,2
40,20000,12,607,1,2
49,22261,13,502,0,2
38,20000,8,633,0,2
41,28204,8,587,0,2
30,20000,11,683,1,2
33,26678,11,836,0,2
36,29382,11,663,1,2
34,20000,16,577,0,2
43,23612,15,643,0,2
24,32687,13,610,0,2
24,38092,8,604,1,2
31,20000,13,633,1,2
48,20000,10,562,1,2
35,21159,12,818,1,2
49,32331,11,592,0,2
23,20000,13,487,0,2
24,20000,11,722,1,2
49,22097,12,817,1,2
32,20000,16,576,0,2
27,20000,10,636,1,2
42,34357,13,657,0,2
23,31033,10,576,1,2
27,20000,8,466,0,2
40,20000,13,763,0,2
31,24653,11,690,1,2
43,20000,9,830,0,2
18,20000,13,567,0,2
41,29173,9,527,1,2
34,34747,15,673,1,2
40,20000,13,659,1,2
24,20000,11,731,1,2
18,36992,11,645,0,2
31,20000,9,617,0,2
37,25038,14,718,1,2
18,33580,10,604,1,2
23,20000,9,849,0,2
20,23149,12,847,1,2
31,20000,20,752,0,2
42,21188,10,491,0,2
