age,income,education_years,credit_score,approval,node_id
32,38169,14,650,0,2
30,29515,14,551,1,2
31,20000,10,678,0,2
42,22850,15,703,1,2
18,32581,15,614,0,2
34,20000,16,577,0,2
18,41611,11,663,0,2
28,24870,9,646,0,2
38,20000,8,633,0,2
25,20000,9,594,0,2
43,23362,14,612,1,2
24,20000,15,545,1,2
25,20000,12,510,1,2
18,20000,9,555,0,2
31,24653,11,690,1,2
20,20224,17,672,1,2
31,20000,13,567,1,2
41,52886,12,597,0,2
27,36197,12,477,1,2
18,31771,9,657,0,2
34,20000,14,588,1,2
43,21506,9,649,1,2
18,37691,20,596,1,2
31,20000,14,760,1,2
43,20000,10,779,1,2
30,20000,11,683,1,2
18,26791,16,797,0,2
46,26907,13,734,0,2
61,29582,11,768,1,2
20,20000,8,637,0,2
39,20000,12,598,0,2
44,22360,9,513,1,2
38,20000,10,605,1,2
30,76388,11,408,1,2
39,20000,8,539,0,2
40,20000,12,563,0,2
23,30356,12,584,0,2
33,26095,14,804,1,2
45,20000,15,773,0,2
30,20000,8,733,1,2
43,58758,9,762,0,2
33,67597,14,553,0,2
29,20000,12,850,1,2
24,21908,10,599,0,2
36,20000,18,556,0,2
27,20000,10,636,1,2
48,27057,12,708,0,2
24,20000,11,594,1,2
24,20000,12,628,0,2
45,20000,15,721,1,2
27,38494,12,749,1,2
22,62526,12,720,0,2
51,20000,13,740,0,2
45,35616,12,622,1,2
40,28271,9,679,0,2
33,20000,10,608,1,2
22,33085,11,590,0,2
38,22088,8,726,0,2
52,20000,14,607,1,2
18,20000,9,812,0,2
49,22261,13,502,0,2
28,20000,8,634,1,2
18,33580,10,604,1,2
33,20000,11,559,1,2
18,20000,8,745,1,2
40,20476,11,497,0,2
30,21154,8,672,1,2
37,25038,14,718,1,2
21,20000,14,708,0,2
41,29173,9,527,1,2
34,34747,15,673,1,2
18,20000,16,661,0,2
18,20000,11,711,0,2
38,37464,10,466,1,2
24,44142,10,646,0,2
56,51483,10,727,0,2
41,22947,8,672,1,2
37,20000,9,736,0,2
33,20000,13,830,1,2
34,20000,10,624,0,2
20,20000,12,661,1,2
26,20168,13,576,1,2
31,20000,11,716,1,2
39,59757,8,676,1,2
42,21188,10,491,0,2
43,20000,10,476,0,2
31,20000,12,655,0,2
37,30600,19,624,1,2
36,20000,12,580,1,2
46,20000,15,672,0,2
24,20000,11,658,1,2
43,21951,14,740,1,2
30,20000,13,608,0,2
41,60981,11,660,1,2
57,20000,8,580,0,2
46,29787,8,688,1,2
34,20000,8,667,1,2
40,20330,11,597,1,2
32,20195,10,697,1,2
40,23642,15,622,1,2
