age,income,education_years,credit_score,approval,node_id
44,22360,9,513,1,2
28,40575,8,477,1,2
54,22694,17,499,1,2
34,20000,12,762,0,2
45,20000,10,774,0,2
27,21451,13,635,1,2
28,20000,11,727,1,2
24,26675,9,602,1,2
49,20000,13,644,1,2
42,26424,10,651,1,2
66,30809,13,683,1,2
43,44181,13,666,1,2
53,20921,11,633,1,2
26,22618,15,742,1,2
33,20000,11,656,0,2
41,20000,14,691,1,2
41,22947,8,672,1,2
24,20000,11,658,1,2
38,20000,10,758,0,2
41,24503,8,643,0,2
26,20105,13,727,1,2
33,26997,13,517,0,2
18,20000,15,590,0,2
28,25059,8,570,1,2
47,20000,14,728,0,2
32,20195,10,697,1,2
18,20000,10,692,1,2
18,27604,12,677,1,2
35,22387,12,503,0,2
38,20000,8,690,0,2
39,22416,12,637,0,2
41,20000,9,537,0,2
31,59570,10,711,1,2
29,20000,15,531,1,2
23,20000,9,849,0,2
30,42944,13,681,0,2
23,20000,14,534,1,2
29,21927,9,657,0,2
39,29628,12,575,1,2
40,20000,13,659,1,2
30,20000,12,632,0,2
36,20000,18,556,0,2
18,20000,11,646,1,2
42,20000,10,655,1,2
49,22097,12,817,1,2
42,35475,10,710,0,2
18,41611,11,663,0,2
34,20000,14,622,1,2
32,20000,12,633,1,2
43,20000,12,601,0,2
56,51483,10,727,0,2
34,20000,12,776,1,2
43,20000,10,779,1,2
18,20000,9,555,0,2
18,25865,11,678,0,2
39,23739,12,565,0,2
20,20000,13,664,0,2
40,20000,12,563,0,2
38,20000,14,354,1,2
33,37965,12,714,0,2
50,27411,18,726,1,2
42,34275,12,823,1,2
24,20000,11,731,1,2
41,26908,16,773,0,2
31,25740,10,595,0,2
22,32414,8,571,1,2
37,25282,13,336,1,2
40,24953,13,739,0,2
30,20000,9,571,1,2
30,20000,13,591,0,2
32,32232,9,662,0,2
26,20000,14,675,0,2
34,34747,15,673,1,2
29,30991,13,762,1,2
38,20000,17,665,0,2
33,20000,13,705,0,2
47,54424,9,480,1,2
31,20000,11,716,1,2
57,20000,8,580,0,2
18,20000,16,661,0,2
49,32331,11,592,0,2
28,22425,18,575,1,2
29,25453,13,725,1,2
45,25925,13,465,1,2
76,20000,8,577,0,2
32,32303,15,689,1,2
34,28220,10,778,0,2
40,20000,11,551,0,2
25,32078,11,549,0,2
31,20000,14,760,1,2
47,20000,16,748,0,2
39,20000,10,752,0,2
24,38092,8,604,1,2
36,21710,8,677,1,2
37,20168,8,649,0,2
43,20000,9,830,0,2
41,29173,9,527,1,2
18,20000,10,494,0,2
23,80971,8,487,1,2
35,49386,8,617,1,2
