age,income,education_years,credit_score,approval,node_id
34,20000,14,612,1,1
45,30348,11,722,1,1
41,24453,8,784,0,1
33,23867,8,606,0,1
22,25439,9,608,1,1
33,51675,17,653,1,1
18,24167,11,575,1,1
46,30464,12,506,1,1
40,44053,11,693,1,1
36,20000,13,651,1,1
28,31657,11,605,0,1
49,20099,11,608,0,1
42,38196,14,671,1,1
43,50441,14,604,1,1
47,30875,12,676,1,1
56,40720,15,704,1,1
55,33096,15,519,1,1
56,20000,11,679,0,1
33,22475,12,711,1,1
18,31658,11,796,0,1
39,20000,10,605,1,1
31,51538,13,710,0,1
32,21815,9,642,0,1
18,24213,9,733,1,1
21,20000,9,658,0,1
46,27694,14,675,1,1
22,26874,8,564,1,1
18,34300,12,671,1,1
32,20000,11,723,1,1
18,20000,13,580,0,1
27,20000,10,792,1,1
39,20000,18,658,0,1
27,20000,13,686,0,1
52,35114,15,638,0,1
51,36567,12,563,1,1
30,46534,12,635,0,1
35,37427,13,571,1,1
34,26394,11,690,1,1
39,27999,8,722,1,1
35,20320,12,591,0,1
52,20000,14,639,1,1
33,37589,10,568,1,1
44,28358,8,584,0,1
52,20000,10,575,1,1
50,20000,12,713,0,1
55,37608,8,598,1,1
35,20000,12,694,1,1
18,20000,12,511,1,1
46,20000,10,570,0,1
35,33887,14,667,0,1
43,20000,8,585,1,1
25,21281,11,675,1,1
26,42246,10,670,1,1
26,26671,10,468,1,1
37,20000,10,657,0,1
46,23557,9,567,1,1
18,24304,8,704,0,1
41,20000,16,603,1,1
39,31141,14,611,1,1
28,22573,12,743,1,1
43,25822,16,542,0,1
43,32617,13,543,1,1
32,21831,12,617,0,1
38,20931,11,513,1,1
27,20000,14,688,0,1
47,24219,11,850,1,1
37,43198,9,813,1,1
33,20000,8,475,0,1
21,20000,13,460,1,1
65,72771,12,605,1,1
35,37259,9,641,1,1
38,20000,11,606,1,1
46,20000,9,528,0,1
46,25616,19,744,0,1
20,20000,14,517,0,1
33,26314,13,592,0,1
43,36994,13,560,0,1
18,22314,15,538,1,1
29,20000,12,567,1,1
46,20000,11,524,0,1
43,20000,11,550,0,1
39,31544,11,509,0,1
49,25748,14,670,1,1
42,20000,12,849,0,1
27,24042,14,767,0,1
28,20000,15,668,1,1
26,20389,8,471,0,1
31,28437,13,504,1,1
33,26285,13,809,0,1
40,20000,10,706,1,1
30,20000,11,612,1,1
53,25864,11,850,1,1
43,20000,13,554,0,1
36,22225,12,480,0,1
40,20000,8,818,0,1
28,55587,15,843,1,1
18,21272,11,557,0,1
51,20000,11,780,0,1
41,115906,15,806,1,1
18,42056,16,780,1,1
