age,income,education_years,credit_score,approval,node_id
29,47930,14,522,1,1
46,24752,12,604,0,1
18,25805,15,693,1,1
38,20000,12,573,1,1
43,55631,19,710,1,1
45,20000,15,524,0,1
51,20000,11,780,0,1
18,24213,9,733,1,1
52,20000,14,639,1,1
36,31777,13,507,1,1
27,33684,8,638,1,1
41,24453,8,784,0,1
33,20000,8,475,0,1
55,33096,15,519,1,1
30,20000,12,674,0,1
26,20000,13,534,1,1
18,20000,12,511,1,1
33,37589,10,568,1,1
35,20000,12,694,1,1
41,20000,12,646,0,1
41,23742,8,488,0,1
38,20000,18,627,1,1
42,20000,14,470,0,1
40,27516,14,606,0,1
26,21688,10,795,0,1
49,25748,14,670,1,1
46,23557,9,567,1,1
53,25864,11,850,1,1
34,28202,13,763,1,1
33,20000,13,446,1,1
33,20000,9,701,0,1
55,20000,16,569,1,1
42,20000,12,849,0,1
33,21812,13,554,1,1
26,20000,14,691,0,1
35,20320,12,591,0,1
18,20000,15,569,0,1
23,36519,8,572,1,1
18,57636,10,739,1,1
43,20000,12,634,1,1
48,54516,13,743,1,1
37,31664,15,754,1,1
24,20000,20,450,1,1
28,34813,12,678,0,1
21,20000,11,698,1,1
31,30663,12,536,0,1
52,35114,15,638,0,1
34,20000,14,719,1,1
44,20000,14,585,0,1
43,20000,10,758,1,1
42,26253,8,813,0,1
30,21630,14,591,1,1
39,23703,12,654,1,1
18,31272,10,687,1,1
45,20000,9,446,1,1
36,23642,12,765,1,1
38,29915,11,608,0,1
35,20363,15,790,0,1
31,20000,15,654,0,1
43,25822,16,542,0,1
46,31153,16,608,0,1
40,29441,12,636,1,1
28,51809,12,745,1,1
40,20000,8,560,1,1
27,20000,13,792,0,1
18,21272,11,557,0,1
21,22945,9,464,1,1
43,21835,8,574,1,1
32,21031,13,666,0,1
32,20000,10,733,0,1
31,20000,10,728,0,1
20,26884,8,647,0,1
23,20000,13,813,1,1
30,22070,17,757,1,1
49,20000,13,636,0,1
31,23202,8,612,1,1
21,20000,9,658,0,1
30,20000,11,612,1,1
36,22225,12,480,0,1
36,29863,12,567,1,1
40,44561,10,568,1,1
46,33875,13,664,1,1
40,20000,11,814,0,1
44,45939,16,759,1,1
36,26524,16,718,0,1
34,26810,9,627,0,1
46,20000,11,524,0,1
22,20000,15,607,0,1
36,20000,11,728,0,1
34,38220,13,628,1,1
35,20000,14,581,0,1
26,20389,8,471,0,1
33,20000,13,758,1,1
56,20000,8,814,1,1
18,20000,16,523,1,1
35,24396,15,473,1,1
65,72771,12,605,1,1
24,20000,13,565,0,1
26,29106,8,605,1,1
26,20000,14,753,0,1
