age,income,education_years,credit_score,approval,node_id
24,20000,20,450,1,1
31,40535,9,841,1,1
41,36653,10,509,0,1
32,20000,9,587,0,1
40,20000,12,850,0,1
38,20000,12,533,0,1
32,22022,13,507,0,1
26,21688,10,795,0,1
28,51809,12,745,1,1
37,30143,11,703,1,1
18,20000,15,569,0,1
41,21445,11,814,1,1
27,20000,13,686,0,1
28,20000,11,618,1,1
37,28243,14,507,1,1
31,23202,8,612,1,1
28,20000,15,781,1,1
33,23867,8,606,0,1
47,39479,8,556,1,1
44,35712,14,679,1,1
35,24396,15,473,1,1
35,20000,12,687,0,1
54,21593,14,543,0,1
42,33500,11,536,1,1
28,31461,16,613,1,1
31,28437,13,504,1,1
26,20000,10,657,1,1
26,20000,13,534,1,1
38,36462,15,723,1,1
30,20000,12,674,0,1
30,46534,12,635,0,1
25,20000,8,586,1,1
21,20000,9,658,0,1
28,49536,13,768,1,1
25,20000,16,519,1,1
51,36567,12,563,1,1
40,36919,16,631,1,1
39,22414,11,481,0,1
45,30348,11,722,1,1
43,40613,13,660,1,1
22,26874,8,564,1,1
43,50441,14,604,1,1
29,23300,10,423,0,1
33,21812,13,554,1,1
42,20000,14,620,0,1
40,20000,8,832,0,1
54,20000,17,850,1,1
40,53114,10,689,0,1
26,20389,8,471,0,1
42,26253,8,813,0,1
28,20000,11,630,1,1
41,20000,10,693,0,1
23,26289,17,714,1,1
18,25805,15,693,1,1
39,27254,9,737,0,1
18,31272,10,687,1,1
35,20000,12,694,1,1
31,51538,13,710,0,1
40,27516,14,606,0,1
56,40267,17,733,1,1
33,20000,8,475,0,1
43,20450,15,496,1,1
37,20000,14,713,1,1
34,28202,13,763,1,1
47,24219,11,850,1,1
39,21296,12,850,0,1
34,159420,12,670,1,1
41,115906,15,806,1,1
40,20000,8,592,1,1
30,21630,14,591,1,1
41,20000,16,485,1,1
28,20000,8,547,1,1
30,44749,8,494,0,1
49,20000,13,636,0,1
31,20000,15,654,0,1
31,44882,10,539,0,1
42,35498,11,650,0,1
32,29086,16,766,1,1
37,20000,10,775,0,1
46,20000,8,704,1,1
30,25804,11,811,1,1
20,26884,8,647,0,1
33,57520,12,447,0,1
42,38196,14,671,1,1
37,20721,15,564,0,1
39,20000,12,683,1,1
39,20000,8,580,0,1
37,32069,13,831,0,1
28,22664,8,618,1,1
55,20000,16,569,1,1
43,21835,8,574,1,1
43,20000,14,542,1,1
25,20000,9,615,0,1
42,23287,8,573,0,1
38,20154,8,497,1,1
53,22587,16,615,1,1
53,25864,11,850,1,1
41,28726,8,663,1,1
18,42056,16,780,1,1
39,31141,14,611,1,1
