age,income,education_years,credit_score,approval,node_id
51,20000,11,780,0,1
28,22664,8,618,1,1
29,20000,13,622,0,1
24,20000,11,836,0,1
43,20000,8,585,1,1
18,24213,9,733,1,1
52,20000,9,613,0,1
27,23036,13,506,1,1
38,20000,13,633,0,1
32,29086,16,766,1,1
49,51374,13,631,1,1
18,24304,8,704,0,1
31,23979,8,668,0,1
31,20000,15,654,0,1
46,31153,16,608,0,1
24,20000,11,663,1,1
33,20000,13,446,1,1
26,29106,8,605,1,1
35,24113,8,469,0,1
40,38314,8,676,0,1
23,45317,10,685,1,1
46,20000,10,570,0,1
44,23486,11,730,1,1
40,53114,10,689,0,1
44,35712,14,679,1,1
28,31461,16,613,1,1
33,42323,12,697,1,1
25,20000,18,755,1,1
32,30281,10,583,0,1
40,44561,10,568,1,1
28,49536,13,768,1,1
31,20000,10,418,1,1
28,20000,15,388,1,1
26,26671,10,468,1,1
28,20000,15,668,1,1
34,20000,12,665,1,1
23,31008,19,699,0,1
37,20000,10,657,0,1
51,20000,11,803,0,1
42,26394,12,807,1,1
33,20000,8,765,0,1
26,20000,13,534,1,1
27,20000,13,686,0,1
51,36567,12,563,1,1
35,20000,8,599,1,1
28,20000,8,547,1,1
36,20000,13,651,1,1
56,40720,15,704,1,1
36,42397,16,657,1,1
41,20000,9,530,1,1
38,20154,8,497,1,1
31,20000,11,573,0,1
23,36519,8,572,1,1
31,20000,10,728,0,1
32,20504,14,618,1,1
40,36919,16,631,1,1
43,20000,12,634,1,1
44,45939,16,759,1,1
37,20000,13,813,1,1
43,26491,12,692,0,1
27,33746,11,625,0,1
47,20540,12,790,1,1
40,44053,11,693,1,1
32,28971,11,607,0,1
39,20000,10,751,0,1
34,159420,12,670,1,1
46,30464,12,506,1,1
50,23240,8,712,1,1
56,20000,11,679,0,1
21,22945,9,464,1,1
20,20000,8,434,0,1
29,30399,13,663,1,1
36,26524,16,718,0,1
43,55631,19,710,1,1
38,23650,16,513,1,1
18,28474,9,615,1,1
31,26535,15,716,1,1
43,20450,15,496,1,1
37,20096,8,658,1,1
42,38196,14,671,1,1
32,32533,13,742,1,1
32,20000,12,404,1,1
36,20000,12,664,1,1
39,21296,12,850,0,1
36,39368,16,587,0,1
36,21725,10,618,0,1
28,52744,11,745,1,1
38,20000,12,573,1,1
36,23642,12,765,1,1
46,20000,8,704,1,1
46,20000,16,492,0,1
36,20000,12,660,0,1
31,28437,13,504,1,1
28,51809,12,745,1,1
39,22414,11,481,0,1
35,45567,10,468,1,1
31,30663,12,536,0,1
35,36068,12,569,0,1
28,20000,15,781,1,1
41,44024,13,648,0,1
30,20000,11,679,0,1
47,28214,17,757,1,1
39,20000,8,580,0,1
40,20000,8,592,1,1
24,20000,13,565,0,1
36,20000,11,728,0,1
42,26253,8,813,0,1
25,21281,11,675,1,1
32,20000,9,587,0,1
35,45952,15,597,1,1
21,26071,10,538,1,1
38,36462,15,723,1,1
43,32617,13,543,1,1
26,20000,11,624,1,1
38,20000,12,533,0,1
21,20000,13,460,1,1
34,40642,8,396,1,1
18,20000,12,561,1,1
46,33124,10,671,0,1
39,20000,17,618,0,1
34,26810,9,627,0,1
27,20000,15,542,1,1
47,39479,8,556,1,1
54,21593,14,543,0,1
18,34300,12,671,1,1
47,24219,11,850,1,1
51,32827,11,636,0,1
38,20931,11,513,1,1
23,31942,13,777,0,1
43,20000,11,550,0,1
33,20000,8,705,1,1
28,31657,11,605,0,1
22,21599,18,658,1,1
40,20000,12,850,0,1
42,20134,12,575,0,1
28,28306,10,591,0,1
40,20000,12,687,0,1
23,28428,12,647,1,1
43,20000,11,609,1,1
35,20000,14,581,0,1
33,36043,9,709,1,1
33,37632,11,757,0,1
43,20000,13,554,0,1
42,33500,11,536,1,1
40,20000,8,832,0,1
36,31777,13,507,1,1
35,20000,9,721,0,1
41,20000,10,693,0,1
37,20000,9,539,0,1
41,20267,11,725,1,1
31,44882,10,539,0,1
18,34613,10,541,1,1
45,48423,14,511,1,1
56,40267,17,733,1,1
39,20000,10,605,1,1
33,20000,13,758,1,1
33,37589,10,568,1,1
33,22475,12,711,1,1
35,20363,15,790,0,1
23,20000,12,641,1,1
29,20884,9,537,1,1
25,20000,9,615,0,1
37,20000,10,775,0,1
32,20000,11,723,1,1
39,31141,14,611,1,1
33,20000,8,475,0,1
44,20000,8,721,0,1
37,43198,9,813,1,1
56,20000,8,814,1,1
18,25805,15,693,1,1
28,20000,11,630,1,1
44,23037,17,571,0,1
60,27041,8,592,0,1
32,33858,15,485,0,1
35,20000,9,850,1,1
32,25843,10,647,0,1
48,25824,9,850,1,1
32,21815,9,642,0,1
41,23742,8,488,0,1
31,27771,12,836,0,1
22,26874,8,564,1,1
38,20000,11,606,1,1
40,20000,11,814,0,1
47,77110,13,795,1,1
33,57520,12,447,0,1
28,20000,12,650,0,1
40,27587,13,541,1,1
37,30143,11,703,1,1
37,32069,13,831,0,1
34,23628,9,598,0,1
46,20000,9,799,0,1
38,20106,17,557,0,1
54,20000,11,850,1,1
46,23557,9,567,1,1
41,20000,16,603,1,1
18,20622,11,679,1,1
41,36653,10,509,0,1
39,40752,8,804,0,1
43,20000,14,542,1,1
45,20000,8,711,0,1
30,20000,10,521,0,1
43,40613,13,660,1,1
29,21382,12,648,1,1
54,45455,11,611,0,1
21,20000,11,698,1,1
18,22314,15,538,1,1
18,20000,18,802,0,1
26,42246,10,670,1,1
23,20000,13,370,0,1
54,20000,17,850,1,1
31,20000,15,695,1,1
21,20000,9,805,1,1
46,21678,10,632,1,1
29,23300,10,423,0,1
22,25439,9,608,1,1
43,46585,10,527,1,1
41,20000,12,646,0,1
30,32982,10,601,0,1
49,25748,14,670,1,1
36,20000,12,473,1,1
51,20000,10,655,0,1
40,35374,14,604,0,1
50,20000,12,713,0,1
36,22225,12,480,0,1
22,20000,15,607,0,1
59,25374,13,815,0,1
29,23248,11,531,1,1
33,22352,14,723,1,1
27,20590,12,783,0,1
32,37220,20,648,0,1
37,35707,15,748,0,1
37,31664,15,754,1,1
41,115906,15,806,1,1
52,20000,12,613,0,1
33,20000,15,638,1,1
22,20000,12,730,1,1
23,27391,9,575,1,1
28,20000,10,654,0,1
18,20000,13,580,0,1
43,20000,8,417,0,1
30,22836,12,683,1,1
31,36493,9,820,1,1
34,20000,14,612,1,1
21,20000,9,658,0,1
26,20543,17,604,0,1
41,20000,14,575,1,1
41,28726,8,663,1,1
30,22070,17,757,1,1
53,25864,11,850,1,1
21,20000,9,732,1,1
31,47489,8,553,0,1
32,22022,13,507,0,1
18,42056,16,780,1,1
54,20000,10,681,1,1
38,29584,9,588,1,1
24,20000,8,544,1,1
55,20000,16,569,1,1
40,20000,17,773,1,1
39,21527,10,647,0,1
28,20000,13,509,1,1
36,47553,11,737,1,1
19,20000,11,681,0,1
42,20000,14,620,0,1
31,51538,13,710,0,1
36,29863,12,567,1,1
47,20000,11,746,1,1
37,28243,14,507,1,1
37,24801,11,559,0,1
37,20000,12,512,1,1
27,20000,12,608,0,1
43,21835,8,574,1,1
50,31751,11,613,1,1
42,35498,11,650,0,1
43,23106,12,705,0,1
26,36928,8,664,1,1
26,20473,8,675,1,1
20,20000,16,810,0,1
47,20000,15,623,1,1
32,28892,14,504,1,1
48,20000,17,745,1,1
27,30912,13,833,0,1
30,20000,11,668,1,1
35,20000,13,733,1,1
44,28358,8,584,0,1
35,40496,8,668,1,1
37,20000,14,713,1,1
35,20000,12,687,0,1
36,22573,8,596,1,1
23,20000,13,813,1,1
35,33887,14,667,0,1
33,20000,14,743,1,1
34,26394,11,690,1,1
39,27254,9,737,0,1
28,22573,12,743,1,1
34,38220,13,628,1,1
32,20000,10,733,0,1
39,38342,13,850,1,1
42,20000,12,849,0,1
25,31658,12,726,0,1
40,20000,8,818,0,1
55,33096,15,519,1,1
20,32540,17,797,1,1
26,20000,10,657,1,1
26,20389,8,471,0,1
32,21031,13,666,0,1
51,20000,10,747,0,1
35,20000,9,580,1,1
28,55587,15,843,1,1
41,24453,8,784,0,1
29,47930,14,522,1,1
46,20000,8,750,1,1
38,20000,16,661,1,1
48,23532,13,594,1,1
28,20000,11,618,1,1
65,72771,12,605,1,1
43,24902,13,528,0,1
41,39194,14,605,0,1
34,20000,14,719,1,1
27,20000,13,792,0,1
26,21688,10,795,0,1
33,26314,13,592,0,1
27,33684,8,638,1,1
37,20721,15,564,0,1
26,20000,14,753,0,1
41,20000,16,485,1,1
44,21197,10,513,0,1
27,29333,12,586,1,1
46,27694,14,675,1,1
32,21831,12,617,0,1
46,20000,10,653,0,1
39,23703,12,654,1,1
46,29316,12,673,1,1
25,21624,14,546,0,1
33,23299,10,616,1,1
49,20429,13,707,1,1
28,34813,12,678,0,1
18,20000,14,759,0,1
18,24167,11,575,1,1
18,26828,12,740,0,1
18,31658,11,796,0,1
30,46534,12,635,0,1
47,30875,12,676,1,1
30,29720,11,672,1,1
38,20000,20,703,0,1
33,29827,9,688,0,1
35,69345,8,796,1,1
33,20000,9,701,0,1
33,20000,9,736,1,1
39,20000,12,683,1,1
23,36703,16,545,0,1
45,28634,17,693,1,1
44,20000,12,627,1,1
