age,income,education_years,credit_score,approval,node_id
40,20000,10,577,1,3
32,20000,12,707,1,3
41,33557,11,627,0,3
39,20000,16,606,1,3
55,20000,12,693,0,3
40,28716,14,813,1,3
39,20000,13,570,1,3
37,26006,10,573,1,3
24,48977,18,764,1,3
18,24273,12,503,1,3
28,20000,9,587,1,3
38,43805,11,552,0,3
50,20000,8,590,1,3
28,20000,14,762,1,3
40,20000,10,654,0,3
43,20000,9,677,0,3
22,35960,8,557,1,3
49,20000,8,712,0,3
44,42007,12,706,1,3
27,21765,20,600,0,3
35,20000,8,611,1,3
37,21704,11,473,1,3
39,41092,9,702,1,3
26,21689,15,767,1,3
37,36722,11,725,0,3
44,23524,13,449,1,3
41,51481,16,526,1,3
24,20000,11,672,0,3
32,77339,10,689,1,3
51,31314,9,779,1,3
47,20000,8,638,0,3
23,25136,8,683,1,3
37,23740,14,850,1,3
21,40229,16,758,0,3
37,33816,13,789,1,3
26,20000,13,722,1,3
51,20000,10,813,1,3
41,20000,10,687,1,3
33,23350,13,533,1,3
51,20000,8,850,0,3
40,25024,14,726,1,3
43,20000,10,599,0,3
25,45518,10,729,1,3
42,20000,14,553,1,3
18,20000,8,671,0,3
21,44715,12,642,1,3
31,23489,11,613,0,3
30,23032,16,765,1,3
39,29072,8,653,0,3
54,26343,14,645,0,3
28,20000,16,575,0,3
52,20000,14,597,0,3
25,30019,8,441,0,3
36,20000,8,657,1,3
20,20000,8,685,1,3
25,27109,17,791,0,3
33,20000,14,603,0,3
36,20000,12,708,0,3
35,24104,9,732,0,3
45,24278,17,675,1,3
30,51662,8,723,1,3
24,20000,11,769,1,3
35,32704,8,749,1,3
33,20000,8,551,1,3
30,24846,8,654,0,3
19,20000,13,545,0,3
26,42745,12,785,1,3
33,31946,8,588,1,3
34,41259,12,647,1,3
41,20000,13,779,1,3
45,20000,8,748,0,3
29,30959,10,647,1,3
29,23589,15,698,1,3
32,20000,13,524,1,3
35,20000,17,554,0,3
39,20000,15,774,0,3
24,32429,12,543,1,3
52,23577,9,632,0,3
52,35403,11,648,1,3
49,32150,12,620,0,3
33,24348,12,810,0,3
53,20000,11,728,0,3
18,28082,17,527,1,3
42,32552,12,766,0,3
42,40126,12,661,1,3
26,30165,9,590,1,3
29,20000,8,550,1,3
40,20000,16,631,1,3
31,34467,13,523,0,3
30,24041,13,611,1,3
26,43132,14,648,1,3
38,20000,16,531,1,3
29,50569,11,795,1,3
18,24922,9,665,1,3
42,36472,13,692,1,3
30,37202,14,811,0,3
18,20000,8,602,1,3
29,20000,10,723,1,3
36,58330,10,697,0,3
54,20000,9,613,1,3
