age,income,education_years,credit_score,approval,node_id
41,20000,10,626,1,3
24,48977,18,764,1,3
47,20000,10,850,0,3
55,38108,13,660,0,3
47,20000,8,638,0,3
30,23032,16,765,1,3
41,20000,10,687,1,3
34,20000,8,405,0,3
54,20000,8,655,1,3
29,23589,15,698,1,3
22,38798,14,781,1,3
43,32182,16,470,1,3
18,20000,10,670,1,3
42,23538,10,592,0,3
34,54986,13,749,1,3
31,34336,8,620,0,3
43,32065,12,565,1,3
47,33042,9,559,0,3
41,28883,8,681,1,3
29,30387,8,535,0,3
35,32704,8,749,1,3
26,20000,13,649,0,3
32,41377,13,662,1,3
37,20000,10,615,1,3
26,42745,12,785,1,3
38,22759,15,728,1,3
45,28939,12,668,0,3
46,34238,10,689,1,3
37,35210,12,520,0,3
34,70184,12,818,1,3
18,20000,10,817,0,3
35,24104,9,732,0,3
28,20000,8,772,1,3
34,20000,10,629,0,3
36,27690,8,661,0,3
41,20000,12,558,0,3
18,28082,17,527,1,3
26,43132,14,648,1,3
41,37143,8,670,0,3
35,20000,8,681,0,3
48,20000,15,485,0,3
43,27084,15,822,1,3
23,26556,8,508,1,3
19,20000,13,545,0,3
33,36126,8,637,0,3
27,27091,12,688,1,3
29,27333,11,604,1,3
44,20000,12,610,1,3
31,20000,8,588,1,3
23,23953,10,623,1,3
30,27002,8,533,0,3
28,46878,9,441,1,3
18,20000,12,696,0,3
35,20000,12,601,0,3
19,22634,11,806,1,3
45,28070,14,557,0,3
39,20000,9,847,1,3
35,40351,11,620,1,3
39,34488,14,552,0,3
29,20000,13,520,1,3
35,20000,8,611,1,3
18,24058,11,760,1,3
38,20000,16,531,1,3
30,20000,9,504,0,3
29,140256,10,668,0,3
24,20000,17,599,1,3
40,29430,11,494,0,3
33,48355,8,441,0,3
28,20000,11,462,1,3
50,20000,12,574,0,3
18,45509,13,554,1,3
18,20000,10,456,0,3
54,20000,16,479,1,3
34,20000,8,642,1,3
30,28111,13,684,1,3
54,30998,13,808,0,3
54,36794,12,599,0,3
27,50857,8,802,1,3
40,20327,12,613,0,3
33,20000,14,839,1,3
50,36134,12,775,1,3
24,35396,9,657,0,3
46,62619,10,407,1,3
26,32494,9,715,1,3
53,49052,10,850,1,3
40,20000,10,654,0,3
26,20000,13,722,1,3
38,20000,8,676,1,3
34,20000,11,611,1,3
35,50663,11,579,0,3
43,43615,14,526,0,3
34,51736,14,770,1,3
35,20426,12,697,0,3
28,24430,14,593,1,3
18,20000,8,671,0,3
18,24273,12,503,1,3
41,20000,13,779,1,3
43,21752,10,563,1,3
18,20000,12,827,0,3
38,41967,17,503,1,3
